0,insurance,MN,0.001435
0,insurance,MW,1.3e-05
0,insurance,MF,1.2e-05
0,insurance,WMF,2.2e-05
0,insurance,PE,3e-05
1,insurance,MN,0.001463
1,insurance,MW,1.3e-05
1,insurance,MF,1.1e-05
1,insurance,WMF,1.1e-05
1,insurance,PE,2.8e-05
2,insurance,MN,0.001504
2,insurance,MW,1.2e-05
2,insurance,MF,1.4e-05
2,insurance,WMF,1.3e-05
2,insurance,PE,3.7e-05
3,insurance,MN,0.001475
3,insurance,MW,1.2e-05
3,insurance,MF,1.1e-05
3,insurance,WMF,1.1e-05
3,insurance,PE,2.6e-05
4,insurance,MN,0.001342
4,insurance,MW,1.2e-05
4,insurance,MF,1.2e-05
4,insurance,WMF,1.2e-05
4,insurance,PE,2.5e-05
5,insurance,MN,0.001707
5,insurance,MW,1.1e-05
5,insurance,MF,1.2e-05
5,insurance,WMF,1.2e-05
5,insurance,PE,2.9e-05
6,insurance,MN,0.001996
6,insurance,MW,1.3e-05
6,insurance,MF,1.3e-05
6,insurance,WMF,1.2e-05
6,insurance,PE,3.6e-05
7,insurance,MN,0.001763
7,insurance,MW,1.1e-05
7,insurance,MF,1.2e-05
7,insurance,WMF,1.3e-05
7,insurance,PE,4.5e-05
8,insurance,MN,0.001864
8,insurance,MW,1.2e-05
8,insurance,MF,1.2e-05
8,insurance,WMF,1e-05
8,insurance,PE,3.5e-05
9,insurance,MN,0.001978
9,insurance,MW,1.2e-05
9,insurance,MF,1.1e-05
9,insurance,WMF,1.1e-05
9,insurance,PE,4.2e-05
10,insurance,MN,0.001879
10,insurance,MW,1.2e-05
10,insurance,MF,1.2e-05
10,insurance,WMF,1.3e-05
10,insurance,PE,2.7e-05
11,insurance,MN,0.001894
11,insurance,MW,1.1e-05
11,insurance,MF,1.6e-05
11,insurance,WMF,1.1e-05
11,insurance,PE,2.8e-05
12,insurance,MN,0.00183
12,insurance,MW,1.4e-05
12,insurance,MF,1.4e-05
12,insurance,WMF,1.4e-05
12,insurance,PE,2.7e-05
13,insurance,MN,0.001833
13,insurance,MW,1.5e-05
13,insurance,MF,1.1e-05
13,insurance,WMF,1.3e-05
13,insurance,PE,2.8e-05
14,insurance,MN,0.001504
14,insurance,MW,1.4e-05
14,insurance,MF,1.5e-05
14,insurance,WMF,1.3e-05
14,insurance,PE,2.8e-05
15,insurance,MN,0.001421
15,insurance,MW,1.2e-05
15,insurance,MF,1.4e-05
15,insurance,WMF,1.2e-05
15,insurance,PE,2.8e-05
16,insurance,MN,0.001474
16,insurance,MW,1.2e-05
16,insurance,MF,1.2e-05
16,insurance,WMF,1.2e-05
16,insurance,PE,2.6e-05
17,insurance,MN,0.002129
17,insurance,MW,1.8e-05
17,insurance,MF,1.8e-05
17,insurance,WMF,1.4e-05
17,insurance,PE,2.5e-05
18,insurance,MN,0.001474
18,insurance,MW,1.1e-05
18,insurance,MF,1.1e-05
18,insurance,WMF,1.4e-05
18,insurance,PE,2.7e-05
19,insurance,MN,0.001427
19,insurance,MW,1.3e-05
19,insurance,MF,1.2e-05
19,insurance,WMF,1.2e-05
19,insurance,PE,2.6e-05
20,insurance,MN,0.001496
20,insurance,MW,1.1e-05
20,insurance,MF,1.2e-05
20,insurance,WMF,1.1e-05
20,insurance,PE,2.6e-05
21,insurance,MN,0.001448
21,insurance,MW,1.4e-05
21,insurance,MF,1.2e-05
21,insurance,WMF,1.4e-05
21,insurance,PE,2.6e-05
22,insurance,MN,0.001565
22,insurance,MW,1.1e-05
22,insurance,MF,1.6e-05
22,insurance,WMF,1.3e-05
22,insurance,PE,2.7e-05
23,insurance,MN,0.001421
23,insurance,MW,1.3e-05
23,insurance,MF,1.1e-05
23,insurance,WMF,1.2e-05
23,insurance,PE,2.7e-05
24,insurance,MN,0.001692
24,insurance,MW,1.3e-05
24,insurance,MF,1.2e-05
24,insurance,WMF,1.2e-05
24,insurance,PE,2.5e-05
25,insurance,MN,0.001324
25,insurance,MW,1.2e-05
25,insurance,MF,1.1e-05
25,insurance,WMF,1.2e-05
25,insurance,PE,2.6e-05
26,insurance,MN,0.00115
26,insurance,MW,1.2e-05
26,insurance,MF,1.1e-05
26,insurance,WMF,1.1e-05
26,insurance,PE,2.4e-05
27,insurance,MN,0.001207
27,insurance,MW,1.1e-05
27,insurance,MF,1.2e-05
27,insurance,WMF,1.2e-05
27,insurance,PE,4.4e-05
28,insurance,MN,0.001262
28,insurance,MW,1.2e-05
28,insurance,MF,1.2e-05
28,insurance,WMF,1.1e-05
28,insurance,PE,3.5e-05
29,insurance,MN,0.001183
29,insurance,MW,1.2e-05
29,insurance,MF,1.1e-05
29,insurance,WMF,1.2e-05
29,insurance,PE,2.9e-05
30,insurance,MN,0.001161
30,insurance,MW,1.5e-05
30,insurance,MF,1.5e-05
30,insurance,WMF,1.1e-05
30,insurance,PE,2.9e-05
31,insurance,MN,0.00113
31,insurance,MW,1.1e-05
31,insurance,MF,1.2e-05
31,insurance,WMF,1.2e-05
31,insurance,PE,3.4e-05
32,insurance,MN,0.001251
32,insurance,MW,1.2e-05
32,insurance,MF,1.1e-05
32,insurance,WMF,1.2e-05
32,insurance,PE,3.3e-05
33,insurance,MN,0.001246
33,insurance,MW,1.2e-05
33,insurance,MF,1.1e-05
33,insurance,WMF,1.1e-05
33,insurance,PE,2.9e-05
34,insurance,MN,0.002108
34,insurance,MW,1.1e-05
34,insurance,MF,1.1e-05
34,insurance,WMF,1.2e-05
34,insurance,PE,2.7e-05
35,insurance,MN,0.001842
35,insurance,MW,1.3e-05
35,insurance,MF,1.2e-05
35,insurance,WMF,1.1e-05
35,insurance,PE,4.6e-05
36,insurance,MN,0.001776
36,insurance,MW,1.2e-05
36,insurance,MF,1.1e-05
36,insurance,WMF,1.1e-05
36,insurance,PE,3.8e-05
37,insurance,MN,0.001696
37,insurance,MW,1.1e-05
37,insurance,MF,1.1e-05
37,insurance,WMF,1.2e-05
37,insurance,PE,3e-05
38,insurance,MN,0.001613
38,insurance,MW,1.2e-05
38,insurance,MF,1.2e-05
38,insurance,WMF,1.2e-05
38,insurance,PE,3.6e-05
39,insurance,MN,0.001608
39,insurance,MW,1.2e-05
39,insurance,MF,1.1e-05
39,insurance,WMF,1.1e-05
39,insurance,PE,2.9e-05
40,insurance,MN,0.001766
40,insurance,MW,1.2e-05
40,insurance,MF,1.1e-05
40,insurance,WMF,1.2e-05
40,insurance,PE,2.8e-05
41,insurance,MN,0.001666
41,insurance,MW,1.1e-05
41,insurance,MF,1.2e-05
41,insurance,WMF,1.2e-05
41,insurance,PE,2.8e-05
42,insurance,MN,0.001716
42,insurance,MW,1.3e-05
42,insurance,MF,1.1e-05
42,insurance,WMF,1.1e-05
42,insurance,PE,4.3e-05
43,insurance,MN,0.00179
43,insurance,MW,1.1e-05
43,insurance,MF,1.2e-05
43,insurance,WMF,1.1e-05
43,insurance,PE,2.8e-05
44,insurance,MN,0.002218
44,insurance,MW,1.7e-05
44,insurance,MF,1.3e-05
44,insurance,WMF,1.4e-05
44,insurance,PE,2.8e-05
45,insurance,MN,0.001615
45,insurance,MW,1.2e-05
45,insurance,MF,1.1e-05
45,insurance,WMF,1.2e-05
45,insurance,PE,2.8e-05
46,insurance,MN,0.001586
46,insurance,MW,1.2e-05
46,insurance,MF,1.2e-05
46,insurance,WMF,1.1e-05
46,insurance,PE,3.6e-05
47,insurance,MN,0.001646
47,insurance,MW,1.2e-05
47,insurance,MF,1.1e-05
47,insurance,WMF,1.2e-05
47,insurance,PE,4.7e-05
48,insurance,MN,0.001639
48,insurance,MW,1.3e-05
48,insurance,MF,1.1e-05
48,insurance,WMF,1.2e-05
48,insurance,PE,3.6e-05
49,insurance,MN,0.001698
49,insurance,MW,2.2e-05
49,insurance,MF,1.2e-05
49,insurance,WMF,1.1e-05
49,insurance,PE,3.5e-05
50,insurance,MN,0.001645
50,insurance,MW,1.1e-05
50,insurance,MF,1.1e-05
50,insurance,WMF,1.3e-05
50,insurance,PE,3.1e-05
51,insurance,MN,0.001529
51,insurance,MW,1.8e-05
51,insurance,MF,1.2e-05
51,insurance,WMF,1.5e-05
51,insurance,PE,3.5e-05
52,insurance,MN,0.001514
52,insurance,MW,1.1e-05
52,insurance,MF,1.1e-05
52,insurance,WMF,1.2e-05
52,insurance,PE,2.9e-05
53,insurance,MN,0.001505
53,insurance,MW,1.1e-05
53,insurance,MF,1.2e-05
53,insurance,WMF,1.1e-05
53,insurance,PE,2.4e-05
54,insurance,MN,0.001487
54,insurance,MW,1.2e-05
54,insurance,MF,1.1e-05
54,insurance,WMF,1.3e-05
54,insurance,PE,3.4e-05
55,insurance,MN,0.001483
55,insurance,MW,1.1e-05
